Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Cusmat,Series B,100000,Hyderabad,Cusmat is india’s largest immersive skilling and training platform.,Computer software,2021,2016,We founder circle
Homeville,Undisclosed,7000000,Mumbai,A technology company focused on helping people buy their first home with down payment assistance at zero interest cost.,Information technology & services,2021,2017,9unicorns
Coinshift,Seed,2500000,Chandigarh,Coinshift helps businesses and decentralised autonomous organisations (dao's) manage their crypto easily,Blockchain,2021,2021,Sequoia capital
Strip finance,Seed,400000,Hyderabad,Collateralised nft & defi liquidity protocol with interest rate discovery.,Financial services,2021,2021,Old fashion research
Ola electric,Undisclosed,200000000,Bangalore,Charging ahead to accelerate the world’s transition to sustainable mobility.,Automotive,2021,2017,Falcon edge
Kolo,Seed,550000,Bangalore,Home construction app for finding ideas and service providers near you,Construction,2021,2020,Better capital
Chqbook,Series B,5000000,Gurugram,"Chqbook.com is india’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.",Fintech,2021,2017,Aavishkaar capital
My3dselfie,Series B,0,Guwahati,World's first to create 3d figurine from photos,Arts & crafts,2021,2016,Nevf
Ev plugs,Undisclosed,150000,Gurugram,Ev charging station aggregator platform,Information technology & services,2021,2021,
Rulezero,Seed,2500000,Bangalore,"Rulezero is a legal/fintech startup reimagining private markets by building an intelligent platform that enables stakeholder participation and capital flow in a transparent, efficient and compliant manner.",Financial services,2021,2019,The treasury
Credright,Undisclosed,2700000,Hyderabad,"Credright is a new age digital lending company 100% focused on micro & small businesses, making the process of availing loans simple",Financial services,2021,2016,9unicorns
Karbon card,Series B,12000000,Bangalore,"Empower indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.",Fintech,2021,2019,Ramp
Auntie fung,Undisclosed,400000,Bangalore,Serving delectable and eclectic pan-asian fare to all foodies in a quick-service & healthy format,Food and Beverages,2021,2015,India angel network
Epaylater,Series B,10000000,Mumbai,Epaylater is a payment solution that aims to separate the experience of shopping from the hassles of payment process.,Financial services,2021,2015,Responsibility
Fittr,Series A,11000000,Pune,"Fittr’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a wolfpack.",Healthcare,2021,2016,Dream capital
Medikabazaar,Series C,75000000,Mumbai,"Medikabazaar, india’s pioneering and largest online b2b marketspace for medical supplies and equipment.",Healthtech,2021,2014,Cdc group
Nimble growth organics,Seed,0,Bangalore,Nimble growth organics is the new age agri startup which through its proprietary package of practice (pop) cultivates organic fruits & vegetables and ensure that authentic food reaches plate.,Farming,2021,2016,
Delhivery,Undisclosed,125000000,Gurugram,Delhivery is a leading logistics and supply chain services company in india.,Logistics & supply chain,2021,2011,Lee fixel’s venture capital firm
Akudo,Seed,4200000,Bangalore,A learning-first neobank for teenagers - enable practical financial education for child today,Financial services,2021,2020,Y combinator
Sanctum wealth,Undisclosed,10000000,Mumbai,Sanctum is an indian wealth management firm which has acquired rbs india’s private banking business.,Investment management,2021,2016,The xander group
88academics,Series B,3000000,New delhi,88academics an 88tuition pte ltd has been established with the social objective of making quality video-based learning material available to all students.,Education,2021,2018,Aarin capital
Upgame,Undisclosed,0,Gurugram,Upgame is the leading data intelligence and practice tracking platform for golfers,Sports,2021,2017,James milner
Sanfe,Series A,1000000,New delhi,India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,Healthcare,2021,2018,Letsventure
